SRCID,D3,D3_norm,D1_avg,D1_norm,A4_avg,A4_norm,A3,A3_norm,A1,A1_norm,B1a,B1b,B1c,B1d,B1_avg,B1_avg_norm,B4,B4_norm,B6f,B6g,B6_avg,B6_avg_norm,B7,B7_norm,V1,V1_binary,V1_norm
2240,1,0,2.6,0.4,1.833333333,0.277777778,4,0.4,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
1422,2,0.333333333,2.4,0.35,1.5,0.166666667,4,0.4,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2354,2,0.333333333,2.4,0.35,2.833333333,0.611111111,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
1430,2,0.333333333,1.6,0.15,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
638,1,0,1,0,2.166666667,0.388888889,8,0.8,1,0,2,2,2,1,1.75,0.75,2,0.333333333,3,3,3,0.5,2,0.5,4,1,1
393,1,0,1.2,0.05,1.666666667,0.222222222,9,0.9,5,1,2,2,2,1,1.75,0.75,3,0.666666667,5,3,4,0.75,1,0,4,1,1
56,1,0,1,0,2.166666667,0.388888889,7,0.7,1,0,2,2,2,2,2,1,2,0.333333333,5,5,5,1,2,0.5,4,1,1
2035,1,0,1,0,2.166666667,0.388888889,10,1,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
2793,2,0.333333333,1.8,0.2,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
561,1,0,1,0,2.166666667,0.388888889,9,0.9,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
2396,2,0.333333333,1,0,1.833333333,0.277777778,8,0.8,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
185,2,0.333333333,1,0,1.666666667,0.222222222,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1267,2,0.333333333,3.6,0.65,2.5,0.5,5,0.5,4,0.75,2,2,1,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
1685,2,0.333333333,3.2,0.55,2.166666667,0.388888889,4,0.4,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,3,3,3,0.5,1,0,4,1,1
3525,2,0.333333333,1.6,0.15,1.666666667,0.222222222,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
1445,4,1,4.2,0.8,2.833333333,0.611111111,2,0.2,1,0,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
246,2,0.333333333,1.2,0.05,1.666666667,0.222222222,7,0.7,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
895,1,0,1.2,0.05,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,3,0,0.666666667
2660,1,0,1,0,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2279,3,0.666666667,1.4,0.1,2.666666667,0.555555556,7,0.7,5,1,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,4,1,1
2899,1,0,2,0.25,1.5,0.166666667,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
2724,1,0,1.2,0.05,2,0.333333333,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
698,2,0.333333333,1.8,0.2,1.833333333,0.277777778,8,0.8,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
2056,2,0.333333333,1,0,1.666666667,0.222222222,4,0.4,2,0.25,2,2,2,2,2,1,3,0.666666667,1,1,1,0,1,0,4,1,1
1788,1,0,1,0,2.333333333,0.444444444,8,0.8,4,0.75,2,2,2,2,2,1,2,0.333333333,5,5,5,1,1,0,4,1,1
2664,3,0.666666667,1.8,0.2,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
1495,2,0.333333333,2.6,0.4,2.166666667,0.388888889,7,0.7,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
1574,2,0.333333333,1.8,0.2,1.5,0.166666667,7,0.7,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
1717,1,0,1,0,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1337,4,1,3.2,0.55,1.166666667,0.055555556,5,0.5,1,0,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
263,1,0,2,0.25,2,0.333333333,9,0.9,1,0,2,2,2,2,2,1,3,0.666666667,4,5,4.5,0.875,2,0.5,4,1,1
661,1,0,2.2,0.3,1.833333333,0.277777778,6,0.6,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,5,3.5,0.625,1,0,4,1,1
2440,1,0,2.8,0.45,2.5,0.5,4,0.4,4,0.75,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,2,0,0.333333333
2300,1,0,1,0,2.5,0.5,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2121,1,0,1,0,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,4,4,4,0.75,1,0,4,1,1
49,2,0.333333333,2.4,0.35,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,4,5,4.5,0.875,2,0.5,4,1,1
1348,1,0,1.8,0.2,1.833333333,0.277777778,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,4,4,4,0.75,2,0.5,1,0,0
861,1,0,1,0,2.166666667,0.388888889,7,0.7,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
478,1,0,1.2,0.05,1.5,0.166666667,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,3,1,4,1,1
1560,1,0,1.2,0.05,1.666666667,0.222222222,9,0.9,1,0,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
1323,1,0,1,0,2.5,0.5,8,0.8,4,0.75,2,2,2,2,2,1,2,0.333333333,1,1,1,0,1,0,4,1,1
477,1,0,1.4,0.1,1.5,0.166666667,5,0.5,4,0.75,2,2,2,1,1.75,0.75,4,1,3,4,3.5,0.625,1,0,4,1,1
3537,1,0,2,0.25,2.666666667,0.555555556,6,0.6,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,4,5,4.5,0.875,2,0.5,3,0,0.666666667
2720,1,0,3,0.5,3,0.666666667,3,0.3,5,1,2,2,2,1,1.75,0.75,2,0.333333333,4,5,4.5,0.875,1,0,3,0,0.666666667
2549,1,0,1.4,0.1,1.833333333,0.277777778,8,0.8,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,5,5,5,1,2,0.5,4,1,1
572,2,0.333333333,1.8,0.2,3,0.666666667,6,0.6,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,2,4,3,0.5,2,0.5,3,0,0.666666667
2640,2,0.333333333,2.4,0.35,1.666666667,0.222222222,3,0.3,2,0.25,1,2,2,2,1.75,0.75,2,0.333333333,2,3,2.5,0.375,2,0.5,4,1,1
1064,2,0.333333333,1,0,1.166666667,0.055555556,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,2,3,2.5,0.375,1,0,4,1,1
2674,1,0,1,0,3,0.666666667,4,0.4,4,0.75,2,2,2,2,2,1,4,1,5,5,5,1,3,1,1,0,0
1923,1,0,1.2,0.05,3,0.666666667,3,0.3,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,2,0,0.333333333
